name-type	first	Surname	surname,firstname	Column 1
firstname surname	Emil	Loewenstein	Loewenstein, Emil	Emil Loewenstein
firstname surname	Erich	Lehrmann	Lehrmann, Erich	Erich Lehrmann
firstname surname	Erna	Sara	Sara, Erna	Erna Sara Berwin
firstname surname	Ernst	Schüller	Schüller, Ernst	Ernst Schüller
firstname surname	Ernst	Seligmann	Seligmann, Ernst	Ernst Seligmann
firstname surname	Eva	Held	Held, Eva	Eva Held
firstname secondname surname	Eva Luise	Jaffe	Jaffe, Eva Luise	Eva Luise Jaffe
firstname surname	Eva	Meyer	Meyer, Eva	Eva Meyer
firstname surname	F.	Meyer	Meyer, F.	F. Meyer
firstname surname	Fanny	Eckstein	Eckstein, Fanny	Fanny Eckstein
firstname surname	Fanny	Pollin	Pollin, Fanny	Fanny Pollin
firstname surname	Felix	Hammerstein	Hammerstein, Felix	Felix Hammerstein
firstname secondname surname	Fibel Gerda	Stern	Stern, Fibel Gerda	Fibel Gerda Stern
firstname surname	Flora	Kaelter	Kaelter, Flora	Flora Kaelter
firstname surname	Francke	Duisburg	Duisburg, Francke	Francke Duisburg
firstname surname	Frank	Rothschild	Rothschild, Frank	Frank Rothschild
firstname surname	Frank	Schauder	Schauder, Frank	Frank Schauder
firstname surname	Franz	Bender	Bender, Franz	Franz Bender
firstname surname	Fridel	Homeyer	Homeyer, Fridel	Fridel Homeyer
firstname surname	Frieda	Goldberger	Goldberger, Frieda	Frieda Goldberger
firstname surname	Friedel	Casanova	Casanova, Friedel	Friedel Casanova
firstname surname	Friedel	Tau	Tau, Friedel	Friedel Tau
firstname surname	Fritz	Hamburger	Hamburger, Fritz	Fritz Hamburger
firstname surname	Fritz	Rosenau	Rosenau, Fritz	Fritz Rosenau
firstname surname	Georg	Meyer	Meyer, Georg	Georg Meyer
firstname surname	Gerhard	Schick	Schick, Gerhard	Gerhard Schick
firstname geb. surname	Gertrud	Seligsohn	Seligsohn, Gertrud	Gertrud geb. Seligsohn
firstname surname	Grete	Rieber	Rieber, Grete	Grete Rieber
firstname surname	Gretel	Mayer	Mayer, Gretel	Gretel Mayer
firstname surname	Hans	Bernkopf	Bernkopf, Hans	Hans Bernkopf
firstname surname	Hans	Ermann	Ermann, Hans	Hans Ermann
firstname surname	Hans	Franke	Franke, Hans	Hans Franke
firstname surname	Hans	Lax	Lax, Hans	Hans Lax
firstname surname	Hans	Wundersam	Wundersam, Hans	Hans Wundersam
firstname surname	Heimann	Maschke	Maschke, Heimann	Heimann Maschke
firstname surname	Heinrich	Pollak	Pollak, Heinrich	Heinrich Pollak
firstname surname	Heinz	Isaacson	Isaacson, Heinz	Heinz Isaacson
firstname surname	Heinz	Isaacson.	Isaacson., Heinz	Heinz Isaacson.
firstname surname	Heinz	Ronecker	Ronecker, Heinz	Heinz Ronecker
firstname surname	Henri	Friedländer	Friedländer, Henri	Henri Friedländer
firstname surname3	Herbert	von de Walde	von de Walde, Herbert	Herbert von de Walde
firstname surname	Heribert	Krane	Krane, Heribert	Heribert Krane
firstname surname	Hermann	Hesse	Hesse, Hermann	Hermann Hesse
firstname surname	Hermann	Kranfuss	Kranfuss, Hermann	Hermann Kranfuss
firstname surname	Herzstein	Freudental	Freudental, Herzstein	Herzstein Freudental
firstname surname	Hirsch	Selig	Selig, Hirsch	Hirsch Selig
firstname surname	Hugo	Oppenheimer	Oppenheimer, Hugo	Hugo Oppenheimer
firstname surname	Ilse	Schloss	Schloss, Ilse	Ilse Schloss
firstname surname	Ingrid	Ittel	Ittel, Ingrid	Ingrid Ittel
firstname surname	Inna	Dentler	Dentler, Inna	Inna Dentler
firstname surname	Irmgard	Loewenstein	Loewenstein, Irmgard	Irmgard Loewenstein
firstname surname	Isak	Rosenheimer	Rosenheimer, Isak	Isak Rosenheimer
firstname surname	Jaakob	Tropper	Tropper, Jaakob	Jaakob Tropper
firstname surname	Jakob	Freudental	Freudental, Jakob	Jakob Freudental
